date,time,hour_of_day,day_of_week,is_weekend,aqi_index,pm2_5,pm10,co,no2,o3,so2,nh3,temp,humidity,pressure,wind_speed,forecast_1_temp,forecast_1_humidity,forecast_1_pressure,forecast_1_wind_speed,forecast_2_temp,forecast_2_humidity,forecast_2_pressure,forecast_2_wind_speed,forecast_3_temp,forecast_3_humidity,forecast_3_pressure,forecast_3_wind_speed,forecast_4_temp,forecast_4_humidity,forecast_4_pressure,forecast_4_wind_speed,forecast_5_temp,forecast_5_humidity,forecast_5_pressure,forecast_5_wind_speed,forecast_6_temp,forecast_6_humidity,forecast_6_pressure,forecast_6_wind_speed,forecast_7_temp,forecast_7_humidity,forecast_7_pressure,forecast_7_wind_speed,forecast_8_temp,forecast_8_humidity,forecast_8_pressure,forecast_8_wind_speed,forecast_9_temp,forecast_9_humidity,forecast_9_pressure,forecast_9_wind_speed,forecast_10_temp,forecast_10_humidity,forecast_10_pressure,forecast_10_wind_speed,forecast_11_temp,forecast_11_humidity,forecast_11_pressure,forecast_11_wind_speed,forecast_12_temp,forecast_12_humidity,forecast_12_pressure,forecast_12_wind_speed,forecast_13_temp,forecast_13_humidity,forecast_13_pressure,forecast_13_wind_speed,forecast_14_temp,forecast_14_humidity,forecast_14_pressure,forecast_14_wind_speed,forecast_15_temp,forecast_15_humidity,forecast_15_pressure,forecast_15_wind_speed,forecast_16_temp,forecast_16_humidity,forecast_16_pressure,forecast_16_wind_speed,forecast_17_temp,forecast_17_humidity,forecast_17_pressure,forecast_17_wind_speed,forecast_18_temp,forecast_18_humidity,forecast_18_pressure,forecast_18_wind_speed,forecast_19_temp,forecast_19_humidity,forecast_19_pressure,forecast_19_wind_speed,forecast_20_temp,forecast_20_humidity,forecast_20_pressure,forecast_20_wind_speed,forecast_21_temp,forecast_21_humidity,forecast_21_pressure,forecast_21_wind_speed,forecast_22_temp,forecast_22_humidity,forecast_22_pressure,forecast_22_wind_speed,forecast_23_temp,forecast_23_humidity,forecast_23_pressure,forecast_23_wind_speed,forecast_24_temp,forecast_24_humidity,forecast_24_pressure,forecast_24_wind_speed
2026-07-16,00:01:54,0,3,0,3,14.05,58.65,68.27,0.11,34.91,0.34,0,27.73,75,1003,4.27,28.11,76,1003,6.11,29.43,71,1004,5.43,30.87,65,1003,6.25,30.24,69,1002,6.06,28.96,77,1003,6.26,28.35,78,1004,6.6,27.85,80,1002,6.23,27.81,78,1002,7.15,28.01,77,1004,7.38,29.61,71,1003,7.95,30.09,69,1002,8.47,29.44,71,1001,8,28.24,78,1002,7.98,28.02,79,1003,8.37,27.69,81,1002,9.12,27.7,81,1001,8.54,28.35,76,1002,9.04,29.47,72,1002,9.36,30.28,68,1001,9.9,29.23,73,1000,10.67,28.15,79,1001,8.93,28.02,80,1002,8.42,27.66,81,1000,8.9,27.83,80,999,8.19
2026-07-16,04:11:39,4,3,0,2,13.19,47.75,68.74,0.09,36.45,0.28,0,29.22,68,1005,5.76,29.1,72,1004,5.43,30.1,68,1003,6.52,30.24,69,1002,5.93,28.96,75,1003,6.04,28.35,79,1004,6.91,27.85,80,1002,6.26,27.81,79,1002,7.12,28.01,79,1004,7.22,29.61,72,1004,8.09,30.09,70,1002,8.39,29.44,72,1001,8.15,28.24,78,1002,7.97,28.02,78,1004,8.28,27.83,80,1002,8.95,27.7,82,1002,8.46,28.49,77,1003,9.06,29.66,71,1003,9.53,30.02,70,1001,10.06,29.3,72,1000,10.53,28.14,78,1001,8.91,28.13,79,1002,8.53,27.56,82,1000,9.03,27.61,82,999,8.58,27.98,79,1001,8.98
2026-07-16,07:24:55,7,3,0,3,13.73,50.41,68.68,0.06,36.25,0.29,0,31.79,57,1004,5.85,30.17,67,1004,6.6,30.04,68,1003,6.08,28.82,76,1003,6.05,28.29,78,1004,6.74,27.79,79,1002,6.19,27.7,78,1002,6.77,28.21,76,1004,6.93,29.92,70,1003,7.52,30.29,70,1002,8.65,29.53,73,1001,8.54,28.19,77,1002,7.92,27.96,78,1003,8.35,27.65,81,1002,8.68,27.82,81,1001,8.52,28.64,75,1002,8.62,29.66,72,1002,9.47,29.95,69,1001,10.07,29.33,73,1000,10.36,28.19,78,1001,8.85,27.98,81,1002,8.57,27.59,81,1000,9.08,27.7,81,1000,7.97,27.92,80,1000,9.26,28.87,76,1001,8.93
2026-07-16,10:13:44,10,3,0,3,13.55,50.9,68.75,0.05,35.84,0.29,0,32.22,56,1002,7.09,30.58,66,1003,6.08,29.48,73,1003,6.05,28.29,78,1004,6.74,27.79,79,1002,6.19,27.7,78,1002,6.77,28.21,76,1004,6.93,29.92,70,1003,7.52,30.29,70,1002,8.65,29.53,73,1001,8.54,28.19,77,1002,7.92,27.96,78,1003,8.35,27.65,81,1002,8.68,27.82,81,1001,8.52,28.64,75,1002,8.62,29.66,72,1002,9.47,29.95,69,1001,10.07,29.33,73,1000,10.36,28.19,78,1001,8.85,27.98,81,1002,8.57,27.59,81,1000,9.08,27.7,81,1000,7.97,27.92,80,1000,9.26,28.87,76,1001,8.93,29.5,74,999,8.97
2026-07-16,12:22:43,12,3,0,3,13.56,52.4,68.46,0.06,35.69,0.3,0,31.35,60,1002,6.66,29.69,72,1002,6.26,28.95,75,1003,6.13,27.77,80,1002,6.29,27.72,79,1003,7,28.07,77,1004,7.06,29.72,71,1003,7.93,30.13,70,1002,8.88,29.32,73,1001,8.44,28.05,77,1002,8.06,28.02,78,1003,8.47,27.47,81,1002,8.59,27.46,81,1001,8.72,28.31,77,1003,8.51,29.68,71,1002,9.33,29.82,71,1001,9.75,29.23,73,1000,10.1,28.1,79,1001,8.94,28.1,79,1002,8.68,27.72,78,1000,8.81,27.65,80,1000,7.69,27.92,80,1000,9.26,28.87,76,1001,8.93,29.5,74,999,8.97,29.42,74,998,7.71
