date,time,aqi,pm25,pm10,co,no2,o3,so2,temp,humidity,pressure,wind_speed
2025-06-22,22:09:55,161,161,,,,,,28.9,79,997,4.63
2025-06-22,23:10:15,161,161,,,,,,28.9,84,997,3.6
