date,time,hour_of_day,day_of_week,is_weekend,aqi_index,pm2_5,pm10,co,no2,o3,so2,nh3,temp,humidity,pressure,wind_speed
2025-06-24,13:38:15,13,1,0,4,33.27,143.8,81.75,0.09,51.19,0.5,0,31.9,62,994,6.17
2025-06-24,14:26:50,14,1,0,4,33.27,143.8,81.75,0.09,51.19,0.5,0,31.9,62,995,5.66
