date,time,hour_of_day,day_of_week,is_weekend,aqi_index,pm2_5,pm10,co,no2,o3,so2,nh3,temp,humidity,pressure,wind_speed,forecast_1_temp,forecast_1_humidity,forecast_1_pressure,forecast_1_wind_speed,forecast_2_temp,forecast_2_humidity,forecast_2_pressure,forecast_2_wind_speed,forecast_3_temp,forecast_3_humidity,forecast_3_pressure,forecast_3_wind_speed,forecast_4_temp,forecast_4_humidity,forecast_4_pressure,forecast_4_wind_speed,forecast_5_temp,forecast_5_humidity,forecast_5_pressure,forecast_5_wind_speed,forecast_6_temp,forecast_6_humidity,forecast_6_pressure,forecast_6_wind_speed,forecast_7_temp,forecast_7_humidity,forecast_7_pressure,forecast_7_wind_speed,forecast_8_temp,forecast_8_humidity,forecast_8_pressure,forecast_8_wind_speed,forecast_9_temp,forecast_9_humidity,forecast_9_pressure,forecast_9_wind_speed,forecast_10_temp,forecast_10_humidity,forecast_10_pressure,forecast_10_wind_speed,forecast_11_temp,forecast_11_humidity,forecast_11_pressure,forecast_11_wind_speed,forecast_12_temp,forecast_12_humidity,forecast_12_pressure,forecast_12_wind_speed,forecast_13_temp,forecast_13_humidity,forecast_13_pressure,forecast_13_wind_speed,forecast_14_temp,forecast_14_humidity,forecast_14_pressure,forecast_14_wind_speed,forecast_15_temp,forecast_15_humidity,forecast_15_pressure,forecast_15_wind_speed,forecast_16_temp,forecast_16_humidity,forecast_16_pressure,forecast_16_wind_speed,forecast_17_temp,forecast_17_humidity,forecast_17_pressure,forecast_17_wind_speed,forecast_18_temp,forecast_18_humidity,forecast_18_pressure,forecast_18_wind_speed,forecast_19_temp,forecast_19_humidity,forecast_19_pressure,forecast_19_wind_speed,forecast_20_temp,forecast_20_humidity,forecast_20_pressure,forecast_20_wind_speed,forecast_21_temp,forecast_21_humidity,forecast_21_pressure,forecast_21_wind_speed,forecast_22_temp,forecast_22_humidity,forecast_22_pressure,forecast_22_wind_speed,forecast_23_temp,forecast_23_humidity,forecast_23_pressure,forecast_23_wind_speed,forecast_24_temp,forecast_24_humidity,forecast_24_pressure,forecast_24_wind_speed
2026-03-15,02:51:39,2,6,1,4,43.47,121.39,138.45,0.3,96.18,0.59,0,25.09,63,1011,2.29,24.98,70,1011,2.65,27.01,56,1011,4.16,28.99,43,1010,6.74,29.44,38,1007,5.29,26.68,49,1009,5.5,26.57,51,1009,7.75,24.81,70,1008,5.2,24.8,62,1007,5.65,25.28,53,1009,4.26,30.32,23,1009,5.31,29.66,36,1007,8.15,27.98,44,1006,8.35,25.61,63,1007,7.09,24.62,71,1008,5.75,23.86,76,1007,4.83,23.53,78,1006,5.66,24.54,74,1008,7.11,27.08,59,1008,7.08,28.03,56,1006,6.12,26.66,68,1006,6.29,24.83,85,1007,5.78,24.23,90,1009,4.75,23.81,91,1007,3.78,23.58,91,1007,4.03
2026-03-15,05:09:29,5,6,1,4,37.85,100.79,133.46,0.31,91.41,0.49,0.01,29.9,32,1012,2.57,30.07,32,1012,4.16,30.38,31,1011,6.74,29.65,36,1009,5.29,26.68,49,1009,5.5,26.57,51,1009,7.75,24.81,70,1008,5.2,24.8,62,1007,5.65,25.28,53,1009,4.26,30.32,23,1009,5.31,29.66,36,1007,8.15,27.98,44,1006,8.35,25.61,63,1007,7.09,24.62,71,1008,5.75,23.86,76,1007,4.83,23.53,78,1006,5.66,24.54,74,1008,7.11,27.08,59,1008,7.08,28.03,56,1006,6.12,26.66,68,1006,6.29,24.83,85,1007,5.78,24.23,90,1009,4.75,23.81,91,1007,3.78,23.58,91,1007,4.03,24.3,87,1009,2.75
2026-03-15,07:04:52,7,6,1,3,28,78.13,127.73,0.22,90.85,0.41,0.07,33.68,17,1011,6.08,31.14,29,1011,7.09,30.09,34,1009,5.24,26.57,51,1009,5.45,26.39,52,1009,7.17,24.78,70,1008,5.39,24.63,64,1007,5.33,25.07,57,1009,4.33,30.34,25,1009,5.24,29.62,37,1007,7.77,28.08,44,1006,8.32,25.66,61,1007,7.16,24.78,68,1008,6.02,23.91,76,1007,5.23,23.71,77,1006,5.64,24.51,73,1008,6.48,27.19,58,1008,6.05,28.05,56,1006,6.02,26.72,65,1006,6.19,24.82,84,1007,6.04,24.22,88,1009,4.67,23.83,89,1007,4,23.62,90,1007,3.26,24.2,87,1009,3.32,26.52,70,1010,3.24
2026-03-15,08:43:12,8,6,1,3,21.94,66.05,124.76,0.18,92.25,0.31,0.09,36.9,8,1009,5.14,37.07,8,1009,7.09,34.57,18,1009,5.24,30.07,37,1009,5.45,26.39,52,1009,7.17,24.78,70,1008,5.39,24.63,64,1007,5.33,25.07,57,1009,4.33,30.34,25,1009,5.24,29.62,37,1007,7.77,28.08,44,1006,8.32,25.66,61,1007,7.16,24.78,68,1008,6.02,23.91,76,1007,5.23,23.71,77,1006,5.64,24.51,73,1008,6.48,27.19,58,1008,6.05,28.05,56,1006,6.02,26.72,65,1006,6.19,24.82,84,1007,6.04,24.22,88,1009,4.67,23.83,89,1007,4,23.62,90,1007,3.26,24.2,87,1009,3.32,26.52,70,1010,3.24
2026-03-15,09:39:41,9,6,1,3,20.08,61.57,124.75,0.18,93.84,0.26,0.09,36.9,8,1008,3.09,34.57,18,1009,5.24,30.07,37,1009,5.45,26.39,52,1009,7.17,24.78,70,1008,5.39,24.63,64,1007,5.33,25.07,57,1009,4.33,30.34,25,1009,5.24,29.62,37,1007,7.77,28.08,44,1006,8.32,25.66,61,1007,7.16,24.78,68,1008,6.02,23.91,76,1007,5.23,23.71,77,1006,5.64,24.51,73,1008,6.48,27.19,58,1008,6.05,28.05,56,1006,6.02,26.72,65,1006,6.19,24.82,84,1007,6.04,24.22,88,1009,4.67,23.83,89,1007,4,23.62,90,1007,3.26,24.2,87,1009,3.32,26.52,70,1010,3.24,26.7,69,1008,4.71
